age,income,credit_score,loan_amount,debt_to_income_pct,num_dependents,years_employed,account_balance,num_prev_loans,monthly_expenses,gender,employment_status,education_level,loan_purpose,region,marital_status,application_year,loan_duration_months,application_date,loan_default
63,31262.72,649,15349.53,12.47,5.0,0.8,4581.07,8,5496.51,Female,Self-Employed,Bachelor,Education,West,Single,2013,36,2013-04-16,1
24,78841.04,850,16387.41,31.99,5.0,1.2,518.0,8,13358.83,Male,Full-Time,Master,Business,Central,Divorced,2022,48,2022-08-11,0
47,49587.48,780,7974.03,34.46,4.0,16.8,9424.94,6,11613.01,Female,Self-Employed,PhD,Education,East,Widowed,2019,36,2019-04-07,0
71,94611.3,609,3987.96,57.67,4.0,2.0,2776.22,7,24272.21,Male,Part-Time,Bachelor,Car,North,Divorced,2018,84,2018-06-25,1
59,,645,19572.24,36.87,3.0,0.3,3117.78,1,18081.38,Female,Full-Time,High School,Education,North,,2020,48,2020-06-24,0
56,147563.55,619,16626.12,23.33,0.0,1.8,187.76,9,40568.51,Female,Part-Time,PhD,Personal,South,Married,2021,36,2021-03-04,1
60,23671.38,561,3982.64,38.09,5.0,9.0,2248.43,0,3973.27,Male,Unemployed,,Business,Central,Widowed,2012,60,2012-08-09,1
28,42578.2,527,7899.29,38.36,5.0,7.5,,7,12567.94,Female,Full-Time,Master,Car,East,,2010,12,2010-03-14,1
32,44315.01,735,15011.93,29.61,3.0,9.6,4439.34,1,16675.35,Female,Part-Time,,Personal,East,Married,2024,60,2024-02-27,0
39,25262.36,576,8775.52,21.08,3.0,0.5,1406.23,9,4944.75,Female,Full-Time,Bachelor,Personal,East,Married,2023,48,2023-03-24,1
23,22514.7,614,14486.09,44.5,,7.8,9383.29,9,6691.06,Male,Full-Time,,Home,East,Divorced,2011,24,2011-03-16,0
29,40395.91,692,6241.66,56.97,1.0,12.0,1028.07,6,15118.33,Male,Unemployed,Bachelor,Personal,West,Married,2013,24,2013-10-17,1
37,50755.16,725,4376.91,21.91,5.0,,,3,10715.8,Male,Full-Time,High School,Business,West,Single,2024,36,2024-09-13,0
33,55124.56,623,23653.01,33.93,6.0,3.5,10170.46,3,14590.88,Female,Part-Time,Bachelor,Education,North,Married,2018,12,2018-01-02,0
39,74557.91,713,15204.75,20.39,6.0,0.8,14555.74,4,19343.78,Male,Full-Time,High School,Business,North,Single,2014,36,2014-05-22,0
49,52176.29,530,18824.86,48.05,4.0,4.0,3720.37,2,18770.37,Male,Full-Time,,Home,West,Divorced,2022,60,2022-09-14,1
46,204541.56,642,37652.3,25.94,,0.6,3359.46,9,50709.6,Male,Full-Time,High School,Personal,East,Married,2024,84,2024-07-13,1
49,72025.84,621,9281.39,17.84,1.0,8.6,1698.83,3,,Male,Self-Employed,Bachelor,Car,Central,Single,2014,84,2014-10-05,0
55,108276.73,571,12124.47,8.83,5.0,1.1,3275.56,9,35783.54,Female,Part-Time,Bachelor,Car,Central,Single,2016,48,2016-05-05,1
59,,675,5817.41,6.94,2.0,7.7,37533.78,4,5309.86,Female,Unemployed,Master,Medical,North,Married,2021,12,2021-03-11,0
69,50911.23,488,30087.71,52.3,3.0,9.5,6027.94,6,9953.06,Male,Full-Time,,Education,South,,2024,36,2024-06-10,1
60,156511.75,611,33449.95,38.8,0.0,2.2,7359.25,6,30911.85,Female,Self-Employed,High School,Business,South,Single,2015,84,2015-09-02,0
65,57515.66,839,11977.8,62.66,3.0,6.9,17411.7,2,11376.08,Female,Self-Employed,Master,Medical,Central,Single,2012,36,2012-10-07,1
58,52918.48,777,8929.77,45.87,6.0,3.5,8140.64,0,18520.81,Male,Full-Time,,Education,South,Married,2013,84,2013-12-26,0
43,20689.29,741,11923.19,31.15,1.0,2.5,203832.31,4,4845.22,Female,Self-Employed,High School,Home,South,Divorced,2022,48,2022-11-17,0
21,48479.04,635,11119.35,25.24,1.0,3.0,6751.69,3,,Female,Full-Time,Bachelor,Education,North,Married,2017,48,2017-09-05,0
56,35215.01,663,28166.06,31.57,2.0,3.8,13945.48,5,10672.58,Male,Self-Employed,Bachelor,Car,Central,Married,2024,60,2024-08-04,0
47,54294.29,509,15810.21,19.85,4.0,0.8,1438.35,9,13900.05,Female,Retired,,Car,North,Single,2011,84,2011-11-13,1
34,226985.51,669,2133.32,23.81,0.0,0.0,1513.13,8,41586.08,Male,Full-Time,Bachelor,Car,Central,Married,2024,36,2024-10-25,0
74,35745.31,724,30620.77,39.4,2.0,7.7,6944.42,5,13556.06,Female,Retired,,Education,East,Single,2022,36,2022-08-10,0
38,35407.35,505,34627.85,37.86,5.0,8.7,8408.6,5,8251.37,Female,Full-Time,High School,Home,West,Divorced,2017,48,2017-09-07,1
30,,737,8709.51,9.1,4.0,0.8,3567.2,8,3703.64,Female,Full-Time,High School,Home,Central,,2018,48,2018-07-26,0
66,77258.34,713,118018.87,24.21,5.0,0.1,10379.43,4,19172.16,Male,Part-Time,,Business,North,Divorced,2019,36,2019-01-12,0
49,22843.65,729,4495.77,18.42,,6.8,16522.5,2,4117.54,Non-Binary,Full-Time,Bachelor,Car,North,Married,2017,60,2017-02-05,0
69,40963.59,586,6212.93,4.18,5.0,4.5,44830.77,3,12334.61,Female,Unemployed,Bachelor,Education,East,Single,2017,24,2017-04-10,0
30,66173.48,688,7382.02,19.64,2.0,0.1,5962.56,0,20512.54,Female,Self-Employed,Bachelor,Home,Central,Single,2013,24,2013-06-16,0
53,56761.11,797,12573.82,11.25,4.0,3.0,3772.28,8,10159.22,Female,Self-Employed,PhD,Medical,South,Single,2018,24,2018-07-20,0
66,62991.89,690,20850.76,22.3,3.0,2.3,6825.82,8,11306.38,Female,Full-Time,High School,Education,Central,Widowed,2013,60,2013-12-12,0
37,167336.05,753,5691.42,79.72,5.0,0.2,1828.01,6,33274.24,Female,Full-Time,,Education,Central,,2022,48,2022-12-09,0
66,74664.23,653,15818.13,16.5,3.0,11.1,1610.9,4,13347.11,Female,Full-Time,Master,Medical,Central,Married,2023,84,2023-03-24,0
44,116478.79,746,5336.79,22.13,2.0,1.2,1566.67,7,31090.13,Male,Full-Time,,Home,West,Married,2022,24,2022-02-18,0
41,21682.61,414,51188.76,19.02,4.0,0.5,1525.88,6,3981.1,Male,Full-Time,Master,Car,North,Married,2015,60,2015-10-15,1
26,27332.49,502,12212.52,27.82,5.0,2.5,27256.35,0,9096.6,Female,Retired,Bachelor,Personal,North,Single,2019,36,2019-04-27,0
67,63267.04,480,4162.98,21.7,1.0,4.8,42949.06,3,14454.05,Female,Unemployed,Bachelor,Education,West,Married,2013,36,2013-01-16,1
62,57506.8,768,34915.03,12.79,3.0,9.9,,2,13254.02,Female,Full-Time,Bachelor,Medical,Central,Married,2012,48,2012-04-24,0
37,46551.75,713,7944.52,27.46,0.0,6.6,2160.23,1,11496.07,Male,Full-Time,High School,Car,Central,Married,2010,36,2010-05-20,0
44,34524.43,675,22889.96,46.84,3.0,2.8,,9,11945.84,Female,Unemployed,High School,Home,North,,2020,84,2020-03-09,1
48,32736.65,610,13393.0,33.63,4.0,12.0,,1,,Female,Full-Time,Master,Business,South,Married,2022,48,2022-12-09,0
48,20559.73,728,8319.45,49.47,5.0,1.3,4608.27,0,3990.63,Female,Unemployed,High School,Education,Central,,2015,36,2015-01-17,0
64,38466.2,663,8427.79,19.41,1.0,7.9,2139.46,7,10001.63,Male,Full-Time,Master,Car,Central,,2015,84,2015-02-09,0
56,84462.78,546,8071.81,37.28,5.0,0.7,6211.39,1,14646.37,Female,Full-Time,High School,Home,North,,2020,60,2020-12-23,1
63,35603.61,614,26501.11,17.97,1.0,3.4,9584.24,3,8013.58,Male,Unemployed,High School,Car,Central,Single,2011,84,2011-11-25,0
29,20288.84,668,19251.42,24.01,1.0,8.1,1343.1,4,5835.22,Male,Self-Employed,Master,Home,Central,Divorced,2020,36,2020-09-26,0
72,62452.3,617,5459.13,33.63,2.0,36.6,1755.96,1,,Male,Part-Time,,Home,Central,Married,2011,48,2011-01-17,0
46,57920.6,719,23172.11,39.85,6.0,,6548.43,4,18854.66,Male,Self-Employed,Bachelor,Business,Central,Widowed,2014,36,2014-06-28,0
37,59983.75,702,55808.74,20.06,6.0,8.5,6473.07,7,14058.97,Female,Part-Time,Master,Business,Central,Divorced,2018,36,2018-06-25,0
31,78056.8,792,46942.47,17.9,3.0,8.8,2884.59,7,,Male,Unemployed,Bachelor,Education,East,Single,2020,48,2020-06-06,0
47,19325.3,632,3029.71,20.5,6.0,3.2,1956.96,0,3468.59,Female,Part-Time,High School,Medical,Central,Married,2020,24,2020-07-11,0
39,,733,29187.84,26.64,6.0,1.8,761.96,1,9832.96,Male,Self-Employed,High School,Home,West,Widowed,2015,36,2015-11-11,0
49,14846.4,618,8774.71,13.43,2.0,,10066.72,3,3188.6,Male,Full-Time,Bachelor,Home,West,Divorced,2015,60,2015-01-04,0
26,28159.53,636,13643.51,37.35,6.0,1.0,7429.87,6,6654.63,Male,Full-Time,Bachelor,Car,West,Married,2017,36,2017-08-18,0
62,156053.75,526,22427.94,44.85,2.0,2.3,14774.46,6,57235.56,Female,Part-Time,Bachelor,Education,East,Single,2022,60,2022-06-08,1
39,55663.89,641,15025.08,46.3,,11.4,9275.48,7,22015.33,Non-Binary,Self-Employed,Bachelor,Car,South,Single,2017,36,2017-12-03,1
32,91584.67,651,7098.67,24.47,1.0,4.6,8896.13,2,16804.77,Male,Retired,Master,Medical,Central,Single,2021,36,2021-04-26,0
52,67634.35,645,13067.2,57.23,2.0,2.2,3146.27,5,20882.28,Male,Self-Employed,Master,Home,North,Single,2022,48,2022-01-13,1
28,48061.24,608,18050.59,31.92,5.0,3.1,915.34,4,14021.09,Male,Unemployed,,Home,East,Married,2023,24,2023-11-21,0
54,45350.81,715,6446.43,33.47,5.0,1.7,9941.63,4,7687.38,Male,Full-Time,Bachelor,Home,West,Married,2014,84,2014-01-05,0
55,56711.75,528,14370.68,56.16,6.0,6.3,,3,15345.28,Male,Full-Time,Bachelor,Education,East,Single,2016,36,2016-12-20,1
26,,599,18852.33,11.91,3.0,,5975.74,1,14456.39,Male,Retired,,Medical,West,Married,2018,48,2018-06-20,0
20,44689.31,753,12033.81,26.05,,4.1,17943.44,9,8980.99,Male,Full-Time,High School,Education,East,Single,2014,36,2014-11-16,0
22,68409.96,629,8080.67,39.03,5.0,,,7,18392.57,Male,Full-Time,Bachelor,Personal,North,Single,2015,48,2015-07-07,1
59,89641.19,621,7529.69,37.06,5.0,1.7,935.92,9,17518.31,Female,Unemployed,High School,Car,Central,Married,2017,36,2017-01-28,1
63,27007.59,579,34236.5,34.59,5.0,0.0,,4,7372.86,Male,Unemployed,High School,Business,Central,Single,2013,36,2013-12-11,1
56,144386.41,600,9754.72,39.07,2.0,8.1,3571.25,1,40113.74,Male,Full-Time,High School,Home,Central,,2014,36,2014-04-18,0
42,57242.5,766,4804.87,12.91,4.0,2.1,5253.11,2,15255.9,Male,Full-Time,Bachelor,Car,West,Married,2024,24,2024-10-14,0
49,,612,39637.6,18.29,,0.0,37773.69,3,20591.98,Male,Retired,High School,Education,Central,Single,2023,60,2023-05-15,0
27,52994.39,679,23979.12,30.33,2.0,4.2,121.79,3,11635.55,Female,Unemployed,Bachelor,Education,South,Divorced,2024,48,2024-04-06,0
24,90464.13,750,14779.22,10.51,,5.5,5039.53,3,21305.85,Female,Full-Time,,Medical,West,Married,2018,60,2018-09-25,0
41,99199.93,751,5518.15,27.74,5.0,2.4,8726.12,5,27005.57,Male,Full-Time,Bachelor,Home,North,Divorced,2022,48,2022-08-24,0
58,129189.56,617,14348.84,32.76,3.0,0.8,,7,23103.41,Male,Full-Time,High School,Education,East,Married,2011,36,2011-08-25,1
45,19982.49,732,21174.85,5.39,4.0,2.2,,6,3889.78,Male,Full-Time,High School,Personal,West,Divorced,2020,84,2020-09-16,0
45,78984.89,730,17577.58,25.52,5.0,11.9,2025.12,1,21953.99,Female,Full-Time,Master,Medical,South,Married,2011,36,2011-10-06,0
70,84986.9,512,24862.51,35.28,5.0,0.4,2080.47,0,19562.34,Female,Full-Time,Master,Education,North,Single,2019,60,2019-01-20,0
43,85440.05,563,23135.56,46.38,2.0,7.1,149995.93,3,15926.69,Female,Full-Time,Bachelor,Medical,West,Married,2013,48,2013-10-23,1
63,,607,7737.25,49.21,1.0,10.1,2335.09,5,,Male,Self-Employed,Bachelor,Medical,North,Married,2016,84,2016-01-11,1
29,36589.54,613,13849.86,54.97,1.0,0.3,803.8,1,8515.18,Male,Retired,Bachelor,Personal,West,Single,2019,84,2019-08-12,0
53,55287.5,649,11712.12,22.21,2.0,7.4,2579.89,5,15587.97,Female,Full-Time,Bachelor,Home,South,Divorced,2015,60,2015-05-10,0
45,32283.55,779,32338.04,37.11,0.0,1.6,1373.74,0,9363.55,Female,Retired,Bachelor,Education,North,Single,2018,84,2018-12-07,1
32,79398.43,735,30875.19,35.02,6.0,,2620.89,5,14387.2,Female,Retired,Master,Car,Central,Single,2014,60,2014-05-12,1
66,110260.04,628,31244.53,20.26,3.0,5.6,6105.62,6,25094.48,Male,Self-Employed,,Education,West,,2023,60,2023-08-25,0
73,18402.55,672,4779.02,29.64,1.0,3.7,25964.01,1,5208.0,Male,Part-Time,Bachelor,Education,East,Married,2021,36,2021-04-08,0
61,41307.33,560,11171.55,24.39,3.0,10.6,6441.53,7,7483.71,Female,Unemployed,High School,Education,Central,Married,2018,60,2018-09-02,1
46,57083.9,711,20449.47,21.54,6.0,0.9,22906.56,2,9672.19,Male,Self-Employed,Master,Personal,East,,2017,36,2017-01-17,0
38,,526,3188.51,14.58,2.0,4.1,3166.68,2,6559.53,Male,Full-Time,High School,Personal,East,Single,2021,36,2021-11-28,0
26,120972.57,582,21082.15,41.8,2.0,7.6,791.78,8,23919.68,Female,Retired,,Medical,North,Divorced,2010,60,2010-08-07,1
